Symbol,Date,open,high,low,close,volume
^VN30,20200903,832.03,843.64,832.03,843.64,135282157
^VN30,20200901,823.93,832.35,821.74,832.03,87082305
^VN30,20200831,824.24,831.6,820.82,823.93,89260791
^VN30,20200828,814.55,828.88,814.55,821.93,133178776
^VN30,20200827,811.31,814.55,810.85,814.55,77384170
^VN30,20200826,814.29,816.39,811.49,812.36,96814910
^VN30,20200825,809.69,818.61,809.69,815.18,119595110
^VN30,20200824,799.69,810.02,799.69,809.69,113941421
^VN30,20200821,787.85,794.83,787.74,793.6,83707518
^VN30,20200820,789.17,793.23,783.57,786.11,94719040
^VN30,20200819,787.66,791.65,786.24,789.41,59855720
^VN30,20200818,791.54,792.03,785.06,786.95,58557540
^VN30,20200817,791.98,793.23,782.54,791.54,68015231
^VN30,20200814,795.09,801.4,789.32,791.98,87152160
^VN30,20200813,788.42,795.3,788.42,795.09,66854578
^VN30,20200812,784.57,790.01,784.32,788.42,85466650
^VN30,20200811,785.95,788.92,781.18,784.57,67152353
^VN30,20200810,782.15,791.37,782.15,784.3,85335270
^VN30,20200807,781.49,785.89,778.7,782.15,73386057
^VN30,20200806,779.92,786.8,776.22,781.6,68023430
^VN30,20200805,767.8,781.47,761.84,780.71,111697444
^VN30,20200804,757.86,768.22,757.86,768.22,71643110
^VN30,20200803,740.17,757.86,739.94,757.86,80183860
^VN30,20200731,732.16,747.56,731.28,740.73,67812170
^VN30,20200730,735.16,746.74,735.16,746.02,62774611
^VN30,20200729,742.47,742.47,723.03,735.16,97116510
^VN30,20200728,729.93,757.5,729.93,756.17,111861366
^VN30,20200727,772.29,772.29,726.22,729.93,142652298
^VN30,20200724,797,797.7,760.57,772.29,145226300
^VN30,20200723,798.15,800.29,794.71,800.29,80566790
^VN30,20200722,805.62,806.76,797.85,797.85,85026427
^VN30,20200721,805.08,806.28,800,804.7,71662450
^VN30,20200720,813.36,813.5,803.36,803.36,79426520
^VN30,20200717,814.76,817.1,812.86,814.16,76604847
^VN30,20200716,812.01,819.83,809.5,819.83,71793249
^VN30,20200715,810.8,814.89,810.16,810.16,64989429
^VN30,20200714,806.17,806.17,798.23,805.37,79127404
^VN30,20200713,812.26,814.11,803.07,806.17,79061476
^VN30,20200710,813.93,817.64,806.96,809.02,91245270
^VN30,20200709,807.71,819.45,807.71,817.08,115197877
^VN30,20200708,805.68,807.02,801.68,805.06,76203810
^VN30,20200707,807.29,812.03,805.68,805.68,100703199
^VN30,20200706,789.87,803.58,789.87,803.46,78408303
^VN30,20200703,786.43,790.04,785.89,789.87,60721312
